year,month,day,rainfall_all,avgtemp_all,humidity_all,GDP,mintemp_all,maxtemp_all,heat_all,sensible_all,max_power
2014,3,17,0.36360506,13.20343744,71.02225895,4266,6.667142422,20.15578063,12.8166917,12.33403706,65809
2014,3,18,0.483009228,12.61277051,71.3936208,4266,8.395388856,18.48079437,13.14812414,12.26014379,65543
2014,3,19,0.001958338,9.912924979,61.45483834,4266,7.564203861,13.26593538,9.88874489,8.789477607,66737
2014,3,20,1.892553181,6.883387064,67.88618174,4266,3.375523031,11.33774317,7.292186337,5.835563256,67400
2014,3,21,0,6.077326894,56.0876485,4266,1.746978976,11.55080877,5.966855186,4.379269557,67809
2014,3,22,0,8.971711096,54.59223813,4266,1.962448654,15.94139414,8.647914699,7.945025619,59838
2014,3,23,0,11.10021327,53.00642637,4266,5.228131307,17.92175401,11.06930513,10.47695737,55419
2014,3,24,0,11.96245253,50.15214176,4266,5.050222616,17.33271672,11.57912957,10.92245597,64545
2014,3,25,6.845203111,14.77085412,72.55661824,4266,12.57260476,18.34244683,14.71676232,14.405592,64482
2014,3,26,7.301967194,15.05128579,77.83794709,4266,11.85322378,20.62362031,15.22669912,15.10049994,64149
2014,3,27,0,14.10240041,70.18317056,4266,8.833004887,20.8585719,13.98647334,13.70034684,64011
2014,3,28,0,16.97819398,59.1098384,4266,10.80640296,24.00992922,16.6341931,16.50273373,62413
2014,3,29,10.40476657,14.88470549,76.12274151,4266,13.11971095,17.73016983,15.15437628,14.94692212,58164
2014,3,30,5.059928059,14.11593432,72.59855181,4266,10.4642772,19.20193773,14.28687945,14.0015013,53354
2014,3,31,0,13.88986678,59.2909196,4266,8.357877679,20.2367757,13.80492339,13.64104736,62487
2014,4,1,0,15.26795893,47.55044873,4434.98,8.954266254,22.66446821,15.12125118,15.06495723,62418
2014,4,2,0,15.74482339,39.69649124,4434.98,9.344121973,22.72066207,15.68995377,15.63082838,61890
2014,4,3,2.203243952,11.84345676,56.91907612,4434.98,6.648500071,17.59558666,12.35640988,11.75343311,63504
2014,4,4,0.532929204,7.703537744,52.0763403,4434.98,3.359118518,12.84924695,7.780009531,6.307480943,63757
2014,4,5,0.192989187,7.067787943,58.23589282,4434.98,3.6138079,12.30610585,7.127750284,5.833866292,57527
2014,4,6,0,8.318933951,43.97157052,4434.98,3.079722732,14.19294241,8.0445477,6.476702596,54598
2014,4,7,0,11.86836553,50.63333388,4434.98,5.74240058,18.66005563,11.59852515,10.93988627,63722
2014,4,8,0,13.33303965,43.40451539,4434.98,6.79957912,21.01804847,13.33925963,13.0696563,63010
2014,4,9,0,13.04921659,63.98848596,4434.98,7.536864884,19.41154324,12.87664062,12.37269423,63343
2014,4,10,0,13.676479,60.9930673,4434.98,8.376372026,20.93525291,13.6907366,13.23039552,63345
2014,4,11,0.018754949,13.57969512,60.34008109,4434.98,10.09025907,18.44437684,13.51658505,13.22190803,63314
2014,4,12,0.209349246,14.26612456,64.25585918,4434.98,11.1569015,17.8128788,14.08591668,14.00701922,57820
2014,4,13,2.030072796,15.27687929,60.95200497,4434.98,11.57747731,21.31625719,15.4009507,15.21498769,53026
2014,4,14,0,15.57918563,47.55804958,4434.98,9.371450484,22.69893501,15.56632409,15.43108384,62272
2014,4,15,0,15.67502995,61.33327098,4434.98,9.817837018,21.50975364,15.4710253,15.12683961,62333
2014,4,16,0,16.75661975,62.5645406,4434.98,12.5715995,22.75740477,16.86663095,16.76039147,61956
2014,4,17,13.43903395,14.74641306,62.31876614,4434.98,9.408760209,21.3336245,14.69121789,14.51841335,63069
2014,4,18,0.462942022,14.71220093,72.37574423,4434.98,11.50169166,19.95687946,14.67172916,14.32538465,62898
2014,4,19,0.037509898,13.34436076,60.80455092,4434.98,10.91942999,17.27557744,13.41677359,12.5734082,57447
2014,4,20,0,14.48397218,53.89654417,4434.98,10.07748378,20.8929914,14.42652238,13.87415725,52591
2014,4,21,0,15.79112668,55.6004357,4434.98,10.17144676,22.24105143,15.67813883,15.55672511,61312
2014,4,22,0,16.14831051,43.73666916,4434.98,10.84040409,22.8728812,16.21851296,16.12781148,61699
2014,4,23,0,17.24630637,43.36647727,4434.98,10.23000894,24.91837925,17.14768168,17.10532819,60966
2014,4,24,0,18.4737621,46.88733669,4434.98,11.73745792,25.85836971,18.3701121,18.37458241,61546
2014,4,25,0,18.84007048,35.62107942,4434.98,11.95019962,26.09785641,18.8127709,18.78834751,61166
2014,4,26,0,18.58535898,42.31198473,4434.98,12.90257007,24.58659338,18.38479138,18.36466875,55806
2014,4,27,7.747674074,16.24647182,75.27892785,4434.98,13.83271059,19.38256384,16.59162506,16.53613953,52100
2014,4,28,27.87991128,13.93766796,90.44574551,4434.98,12.56257629,15.5355069,14.01319108,13.22942533,62596
2014,4,29,16.76617387,14.93996532,82.84764759,4434.98,12.62497465,17.98101675,14.90925669,14.54043322,62173
2014,4,30,1.726848576,15.44442428,74.35481596,4434.98,11.97493839,19.85251632,15.51259631,15.4394578,61294
2014,5,1,0.068173887,16.88267055,64.46135733,4434.98,11.26883156,23.03964531,16.72788333,16.61913077,55782
2014,5,2,0.403168081,17.38433029,65.11718889,4434.98,11.86278365,25.69693165,17.47901642,17.27407993,58473
2014,5,3,0,14.77613613,48.25674949,4434.98,9.827155244,21.0755842,14.89545397,14.29451287,52592
2014,5,4,0.987418657,13.7432994,55.35258296,4434.98,9.389782074,20.68158528,13.93676418,13.52893977,50506
2014,5,5,0.142221975,12.28690175,49.87013845,4434.98,7.684517814,17.3148443,12.24726555,11.27931252,52425
2014,5,6,0,13.82092693,44.01212126,4434.98,8.003642478,19.96319076,13.67665091,13.1836093,54460
2014,5,7,0.806110464,16.1618487,44.79439884,4434.98,8.813572325,22.84670847,15.85835279,15.57685255,59921
2014,5,8,4.983794878,16.13684834,71.92502818,4434.98,12.39162897,20.99514145,16.32159048,15.9211958,61820
2014,5,9,0,16.89922417,58.25078249,4434.98,10.79707113,23.80684206,16.74293941,16.69442485,60847
2014,5,10,0,19.24578755,44.55526779,4434.98,12.00277102,26.49808517,19.0004898,18.93293164,56582
2014,5,11,14.83827392,18.72584056,52.16403356,4434.98,14.62530346,24.05926361,18.89743193,18.81714992,52256
2014,5,12,24.95712038,18.07514953,75.56098795,4434.98,14.85266434,22.4940554,18.05139529,17.81138496,61216
2014,5,13,0,20.44727811,61.71442551,4434.98,13.21948893,27.02846933,20.16939265,20.07980928,62149
2014,5,14,0.408188272,19.31926203,62.59480504,4434.98,15.73241554,24.0379984,19.50880494,19.50698463,62471
2014,5,15,0.123389081,19.25665923,58.70315126,4434.98,15.00414751,25.17686536,19.31601058,19.24380262,62172
2014,5,16,0,19.80740863,48.56441586,4434.98,13.71214359,26.3110527,19.66453013,19.62085939,62471
2014,5,17,0,20.26014175,49.82523719,4434.98,14.81773196,26.25778332,20.38839886,20.38973791,56689
2014,5,18,0,20.43058036,53.49558037,4434.98,14.19962633,27.01426326,20.43741548,20.44921031,52446
2014,5,19,0,20.72938071,55.52167134,4434.98,14.19343722,27.09742578,20.51144383,20.52551835,62956
2014,5,20,2.303937384,20.15616735,59.33254455,4434.98,16.4989213,24.92445985,20.21564368,20.2206695,63090
2014,5,21,0.003932281,19.90068212,64.78295443,4434.98,15.339831,26.16218051,19.99011561,19.97865566,62891
2014,5,22,0.003709857,20.79061427,64.59373373,4434.98,14.33573331,28.16973448,20.58595768,20.55615554,63560
2014,5,23,0,21.04339284,67.87158711,4434.98,17.3088036,25.93050144,21.06169057,21.06335533,63549
2014,5,24,0,21.97110045,68.61389601,4434.98,16.92844235,28.41434377,21.76704434,21.75928401,57838
2014,5,25,15.15096126,20.84301826,73.76074071,4434.98,18.35944548,25.101007,20.98974109,20.95841802,52266
2014,5,26,2.819966213,20.72960509,65.28632912,4434.98,17.41734503,25.92713846,20.85871853,20.81565792,62708
2014,5,27,0,23.02706917,45.45072658,4434.98,16.50539551,29.26244185,22.72982018,22.70885148,64420
2014,5,28,0.087835294,22.76904476,62.32034514,4434.98,18.96368075,28.3775853,22.9864177,22.99462313,65865
2014,5,29,0,23.37644851,60.2444294,4434.98,17.23746911,30.72218859,23.31748183,23.32414953,66574
2014,5,30,0,24.58346005,48.8013503,4434.98,17.3594465,31.29000674,24.23117364,24.41726976,67424
2014,5,31,0,25.90286608,47.89078164,4434.98,19.69898755,32.71626247,25.7202951,25.86848381,60914
2014,6,1,0,24.6165022,56.32517387,4434.98,20.30360514,29.48057065,24.5883904,24.68990878,54570
2014,6,2,3.175408762,21.94408662,67.78904762,4434.98,19.32315387,24.6851641,22.1523566,22.1399979,64375
2014,6,3,22.43684313,19.36863063,88.45215465,4434.98,17.63652246,21.78082149,19.42039468,19.38844969,63465
2014,6,4,1.154861933,22.14532384,69.23866587,4434.98,18.86918778,26.75263798,22.10247763,22.11295437,61469
2014,6,5,0.435982083,21.64434041,69.5610211,4434.98,19.38504416,24.53121651,21.61193313,21.59876225,63187
2014,6,6,0,22.96042455,61.95034581,4434.98,18.08618294,28.77296834,22.93667016,22.934868,58717
2014,6,7,0.027201436,22.35225231,67.17811597,4434.98,18.11438194,27.20044197,22.31718551,22.28838716,55666
2014,6,8,0.046459917,21.33640661,73.22451984,4434.98,18.93891015,25.25301815,21.3756939,21.37177951,52889
2014,6,9,2.0548204,22.05064187,74.72609083,4434.98,18.82687658,27.04531747,21.94913305,21.96248682,64907
2014,6,10,4.902519117,22.49786096,73.66055885,4434.98,19.37606618,27.20724975,22.50713515,22.50077182,66163
2014,6,11,9.694896882,21.05792663,78.72289827,4434.98,18.2620325,26.49388572,21.10866241,21.090616,65006
2014,6,12,12.03144909,20.13805172,78.63654134,4434.98,17.04772649,25.13732339,20.12729256,20.12959004,64857
2014,6,13,0.861132698,21.29720288,78.74574166,4434.98,17.81109496,25.90088509,21.11296597,21.09280053,64400
2014,6,14,0,22.85620148,69.80486668,4434.98,18.30947304,28.25551758,22.78132329,22.7663262,58813
2014,6,15,0,23.55230479,65.23269047,4434.98,19.09351188,29.21841311,23.46579954,23.49245572,53962
2014,6,16,0,24.12362754,62.00340371,4434.98,19.29679692,29.41880857,24.02868783,24.04316787,66777
2014,6,17,1.811856223,23.3378657,72.18007236,4434.98,20.97920007,27.99711783,23.5938676,23.61554817,67326
2014,6,18,0.662302486,23.70399501,68.84169552,4434.98,19.47608303,28.93072324,23.69685708,23.7288918,67769
2014,6,19,0.00800929,23.25311967,72.84143341,4434.98,19.69405183,27.46070543,23.1757441,23.18195577,66800
2014,6,20,1.911260225,23.50160785,74.37136039,4434.98,20.11604151,28.09910756,23.49794233,23.49366585,67428
2014,6,21,3.718641296,22.24488203,79.34076951,4434.98,19.89639392,25.71834873,22.34278647,22.34593183,59988
2014,6,22,0.757440032,22.89464918,73.27611264,4434.98,19.38212953,27.44045095,22.84914532,22.85992647,53722
