year,month,day,rainfall_all,avgtemp_all,humidity_all,GDP,mintemp_all,maxtemp_all,max_power,heat_all
2014,6,5,0.435982083,21.64434041,69.5610211,4434.98,19.38504416,24.53121651,63187,21.61193313
2014,6,6,0,22.96042455,61.95034581,4434.98,18.08618294,28.77296834,58717,22.93667016
2014,6,7,0.027201436,22.35225231,67.17811597,4434.98,18.11438194,27.20044197,55666,22.31718551
2014,6,8,0.046459917,21.33640661,73.22451984,4434.98,18.93891015,25.25301815,52889,21.3756939
2014,6,9,2.0548204,22.05064187,74.72609083,4434.98,18.82687658,27.04531747,64907,21.94913305
2014,6,10,4.902519117,22.49786096,73.66055885,4434.98,19.37606618,27.20724975,66163,22.50713515
2014,6,11,9.694896882,21.05792663,78.72289827,4434.98,18.2620325,26.49388572,65006,21.10866241
2014,6,12,12.03144909,20.13805172,78.63654134,4434.98,17.04772649,25.13732339,64857,20.12729256
2014,6,13,0.861132698,21.29720288,78.74574166,4434.98,17.81109496,25.90088509,64400,21.11296597
2014,6,14,0,22.85620148,69.80486668,4434.98,18.30947304,28.25551758,58813,22.78132329
2014,6,15,0,23.55230479,65.23269047,4434.98,19.09351188,29.21841311,53962,23.46579954
2014,6,16,0,24.12362754,62.00340371,4434.98,19.29679692,29.41880857,66777,24.02868783
2014,6,17,1.811856223,23.3378657,72.18007236,4434.98,20.97920007,27.99711783,67326,23.5938676
2014,6,18,0.662302486,23.70399501,68.84169552,4434.98,19.47608303,28.93072324,67769,23.69685708
2014,6,19,0.00800929,23.25311967,72.84143341,4434.98,19.69405183,27.46070543,66800,23.1757441
2014,6,20,1.911260225,23.50160785,74.37136039,4434.98,20.11604151,28.09910756,67428,23.49794233
2014,6,21,3.718641296,22.24488203,79.34076951,4434.98,19.89639392,25.71834873,59988,22.34278647
2014,6,22,0.757440032,22.89464918,73.27611264,4434.98,19.38212953,27.44045095,53722,22.84914532
2014,6,23,12.58495696,21.47255672,85.40790266,4434.98,19.19737598,25.21801614,65547,21.42030801
2014,6,24,0.698276104,22.71143812,76.9594206,4434.98,19.12330515,27.52449322,66595,22.66446622
2014,6,25,0.064290582,23.6842864,74.61982184,4434.98,19.7254688,28.68355598,67542,23.57494949
2014,6,26,0,24.47105616,69.3902892,4434.98,20.35025328,29.84561716,68774,24.43259497
2014,6,27,0,24.68093173,68.7545445,4434.98,20.58849973,30.10622514,68262,24.75196787
2014,6,28,0.270932504,24.76179285,67.32733851,4434.98,21.38911285,29.71855591,61010,24.74085345
2014,6,29,0,24.36787954,65.97498082,4434.98,20.81171698,29.38079694,55503,24.46575013
2014,6,30,0.49024489,24.85813287,70.68090611,4434.98,20.82814213,30.14763458,69801,24.83398794
2014,7,1,2.824559717,25.75567367,71.29179187,4369.33,21.11176585,31.46057932,71029,25.78699726
2014,7,2,12.90965059,24.61266983,77.07701243,4369.33,21.46170613,29.41338189,70518,24.77351743
2014,7,3,21.03733525,22.18393417,89.4932686,4369.33,20.54073824,24.65426532,66535,22.1282303
2014,7,4,0.280081257,25.2781232,72.00296009,4369.33,21.28879038,30.16580032,68944,25.15418552
2014,7,5,1.061612522,24.81432202,73.32698925,4369.33,21.56765181,28.61385103,61356,24.86072767
2014,7,6,3.505536662,23.25688014,77.97347422,4369.33,21.27934845,26.20097313,54855,23.33176726
2014,7,7,0.689421363,25.04130536,74.16359242,4369.33,20.25197046,30.00434078,69831,25.37346213
2014,7,8,2.749327178,25.69338645,79.59661412,4369.33,22.91401612,29.76092821,70523,26.03536078
2014,7,9,1.772637916,27.02656441,82.1061281,4369.33,24.66799609,31.35896486,72676,29.5249417
2014,7,10,0,28.19318862,67.84987855,4369.33,24.54919526,33.23147787,73566,30.02506266
2014,7,11,0,27.54797319,59.37155792,4369.33,23.46870395,33.06432312,72310,28.52569987
2014,7,12,0.34005638,25.47026355,69.42304912,4369.33,22.65621213,29.35167633,63830,25.64299705
2014,7,13,10.04755955,24.59777177,77.84790107,4369.33,21.77084041,28.65650863,57026,24.58162891
2014,7,14,0,26.38508727,70.45855359,4369.33,22.61074499,31.08966403,72580,26.40085192
2014,7,15,1.475132342,25.69269854,75.70263807,4369.33,23.21619105,29.96275164,72611,26.46318146
2014,7,16,2.204046883,26.0623689,72.73003309,4369.33,22.80631097,31.07822601,72607,26.4159656
2014,7,17,8.542788862,24.85858005,82.4276876,4369.33,22.72001437,27.90995465,71498,24.88358215
2014,7,18,19.02993783,25.02139251,84.93167431,4369.33,22.00545631,29.27073783,71605,25.0989912
2014,7,19,5.031030038,26.73486786,80.17510681,4369.33,23.82970172,31.13495791,65090,28.81286364
2014,7,20,0,27.6465719,76.10658501,4369.33,24.15539172,32.67468162,60592,30.23232923
2014,7,21,0,27.37017786,74.76820638,4369.33,24.08367788,31.83597794,74839,29.66250952
2014,7,22,6.879036265,26.61857953,78.11835915,4369.33,24.25738438,29.66124181,73590,27.40265029
2014,7,23,24.30884057,25.81949683,82.89979127,4369.33,23.49603202,28.55443134,71830,27.13054623
2014,7,24,22.98481531,25.55079286,85.16454679,4369.33,22.46629046,29.27269839,71947,27.7301797
2014,7,25,25.13968549,28.38443027,79.48554553,4369.33,24.20455403,33.41358645,76054,32.3575128
2014,7,26,1.708560812,25.02747472,76.896118,4369.33,22.1967419,29.02669252,63452,26.1139916
2014,7,27,0.011251171,24.95271107,69.93798636,4369.33,20.98199027,30.60040991,57555,24.93827248
2014,7,28,1.957808991,25.45298228,70.99578724,4369.33,20.91890435,30.19750601,70263,25.34123508
2014,7,29,2.100356295,26.00740342,73.65344568,4369.33,22.16574586,30.18077145,70243,26.1123076
2014,7,30,0.001478002,28.78150207,71.26370991,4369.33,24.3099789,33.91168089,72841,32.03511713
2014,7,31,4.980149007,28.66354954,73.96076279,4369.33,25.26157832,34.8271077,72870,33.09499249
2014,8,1,0.356552405,29.05601966,70.29249851,4369.33,24.68280005,33.6211525,68690,32.40048359
2014,8,2,15.30249972,28.91490435,67.23605566,4369.33,25.99804068,32.64855099,60964,31.14751178
2014,8,3,23.30256841,26.1320424,87.29308372,4369.33,24.16795819,28.73522511,57167,26.47988977
2014,8,4,12.691025,25.57864425,94.14686109,4369.33,24.29751302,27.67135642,62294,25.60354336
2014,8,5,0.683717686,26.89385278,85.20422412,4369.33,24.50775636,30.58340292,65788,29.73379364
2014,8,6,4.861741652,25.7621255,87.28870857,4369.33,23.46607417,28.52107949,66074,26.7299197
2014,8,7,12.35747741,23.97849852,91.33209974,4369.33,22.22988017,26.49799165,64831,24.0701156
2014,8,8,1.908851021,24.78015227,74.42196248,4369.33,21.35362699,28.52936956,64948,24.76144724
2014,8,9,0.651684734,25.77373198,61.82429723,4369.33,22.16853969,30.19625776,59207,25.71241646
2014,8,10,29.26869104,23.62520674,78.61001315,4369.33,20.46172057,27.98320563,54596,23.95542654
2014,8,11,0.191068054,23.92574768,77.99802976,4369.33,19.42686454,28.93321727,67540,23.69874769
2014,8,12,0,25.73832809,72.17562225,4369.33,21.4948707,30.90465809,69977,25.67184734
2014,8,13,2.146346066,24.26268291,78.7797226,4369.33,22.25443325,27.02109049,68662,24.38869562
2014,8,14,17.66823726,21.72156969,87.04054149,4369.33,20.50985852,23.63884578,65015,21.79532682
2014,8,15,5.344345661,24.19117115,81.5905869,4369.33,20.99601554,28.51920184,61600,24.06687114
2014,8,16,0.005037402,25.60588083,75.37587773,4369.33,21.95000013,30.70692655,59837,25.54508136
2014,8,17,18.35823846,23.66288426,82.43646373,4369.33,21.79705014,26.28311199,55046,23.82751515
2014,8,18,52.59936499,22.2639184,92.69957363,4369.33,20.51760727,24.41234397,66232,22.22830797
2014,8,19,8.745066834,23.26334709,94.28292288,4369.33,21.42072431,26.53933087,67191,23.20352254
2014,8,20,13.8050611,24.31952844,90.90259988,4369.33,22.48486222,26.89979177,68596,24.25884605
2014,8,21,35.95940412,23.90034082,91.79661822,4369.33,22.14821994,26.83618652,68283,23.99359999
2014,8,22,6.18878616,25.00248155,78.89338261,4369.33,21.57197963,29.19383489,68320,24.9299978
2014,8,23,0.206292872,25.45521406,76.40434631,4369.33,22.30210622,30.11645165,62159,25.43091225
2014,8,24,1.511183913,25.27768148,79.91607926,4369.33,21.85257851,29.48137063,57285,25.19583551
2014,8,25,34.49773882,24.5833462,86.37687695,4369.33,23.0523383,26.84724409,69048,24.63600573
2014,8,26,6.330510963,25.09407145,79.03092982,4369.33,21.98184422,29.38971767,70689,25.21280195
2014,8,27,1.863262505,23.75369875,74.21275904,4369.33,20.88743074,27.26328983,68670,23.76132644
2014,8,28,0.085255467,23.81826519,71.0747573,4369.33,20.10099017,28.36080133,68404,23.8359261
2014,8,29,3.356263556,23.87104896,73.30371088,4369.33,20.17462684,28.77444094,68468,23.80563521
2014,8,30,0,23.58693365,71.48776794,4369.33,19.23555627,28.96622211,60855,23.55357629
2014,8,31,0,23.03418972,69.8294399,4369.33,19.4562069,27.68199192,55541,23.04145735
2014,9,1,0.60724005,23.66868486,70.5726278,4369.33,19.1789552,29.20415375,69406,23.6373044
2014,9,2,6.958607976,22.66692214,75.63118728,4369.33,19.49192827,26.48168974,67961,22.82725403
2014,9,3,42.26068192,21.32014898,94.99030778,4369.33,19.16052523,23.71859106,67408,21.27096707
2014,9,4,0.1938921,23.28713693,78.52861934,4369.33,19.65715848,28.06076139,68156,23.18103175
2014,9,5,0,24.10377968,73.63926207,4369.33,19.57322793,29.96446058,67144,24.06047633
2014,9,6,0.086569842,24.222693,71.86226198,4369.33,20.18046602,29.3837725,55141,24.20449148
2014,9,7,0,24.67676955,73.51150042,4369.33,19.40988617,30.56780592,48762,24.52314324
2014,9,8,0,24.62895754,74.69693457,4369.33,20.49434941,30.08386271,44934,24.67146481
2014,9,9,0,23.61541184,70.35348674,4369.33,19.84496643,28.72236131,47665,23.769795
2014,9,10,0,22.65154026,64.81641368,4369.33,17.77617554,28.42809468,54015,22.66279714
2014,9,11,0,23.16372858,65.02448317,4369.33,17.89110645,28.9208145,65262,23.06433141
2014,9,12,0.223675877,21.81203793,73.16398159,4369.33,19.02655259,25.96708172,65955,21.94728483
2014,9,13,0.007959743,22.85811818,65.06062766,4369.33,18.43602917,28.06134543,59351,22.74939606
2014,9,14,0,22.57629758,62.68189889,4369.33,17.76438569,27.89289513,55020,22.52737328
2014,9,15,0.039798713,22.97617894,68.32959544,4369.33,19.90618448,27.80328462,66972,23.01173088
2014,9,16,0,22.29892544,54.86949614,4369.33,17.59981113,27.85108704,66507,22.36651166
2014,9,17,1.347350238,20.82565009,62.32991572,4369.33,18.20512807,24.04707455,65050,20.98138176
2014,9,18,0.259709525,20.71351414,63.50220637,4369.33,17.02723291,25.88125364,64944,20.71960831
2014,9,19,0,20.64840006,61.20140047,4369.33,15.49897915,26.50852708,64544,20.58111505
2014,9,20,0,21.27184925,57.30090389,4369.33,15.28054768,27.66041215,57366,21.18056077
2014,9,21,0,21.0070193,61.04147806,4369.33,16.82586996,26.58179072,53797,21.01818537
2014,9,22,0,21.71728317,61.94266712,4369.33,15.80618768,28.17113979,65691,21.58524224
2014,9,23,3.545028201,22.26211132,62.24084724,4369.33,17.60363522,28.34304314,65404,22.21072097
2014,9,24,44.26221937,19.93885491,87.63284256,4369.33,17.91297106,22.65767921,64878,20.11994322
2014,9,25,0.159194853,21.6122155,72.83945064,4369.33,17.54446603,27.2436647,65682,21.48249677
2014,9,26,0.387017598,21.08902862,73.30972401,4369.33,18.23467179,25.2876074,64274,21.15361737
2014,9,27,0.137999168,21.40427684,74.82907356,4369.33,17.35979259,26.05699853,57263,21.33815793
2014,9,28,0.213345354,22.07216974,77.91757331,4369.33,18.28259934,26.53901964,54241,21.99496209
2014,9,29,8.249972007,20.43909643,90.57784851,4369.33,18.82155126,22.42101506,65058,20.62327965
2014,9,30,0.481034539,19.46374619,78.13196314,4369.33,16.46076079,23.84726089,63847,19.56936054
2014,10,1,0,19.49077981,70.03293907,4600.22,15.96133413,24.37060789,62630,19.38727721
2014,10,2,3.646928723,19.30509779,79.65951148,4600.22,16.55665118,22.97700557,62948,19.27688289
2014,10,3,0.104038922,17.63354848,69.10897511,4600.22,14.46140745,22.06370799,56747,18.02748103
2014,10,4,0.104038922,17.52656951,64.03698134,4600.22,12.83352531,23.24540794,53248,17.45363135
2014,10,5,0,17.43197194,55.3627011,4600.22,12.79421028,23.14913712,51715,17.48265868
2014,10,6,0.01733982,16.85733251,57.48453286,4600.22,11.85696826,22.63011306,62404,16.86194522
2014,10,7,0,16.69088269,63.02479637,4600.22,11.6118076,23.21546317,63184,16.71285416
2014,10,8,0,17.17553216,64.2546654,4600.22,11.1595283,23.73301578,61945,17.05942246
2014,10,9,0,18.49303956,63.56421852,4600.22,12.6856412,25.19583398,59045,18.32012957
